data;taxaCompra;taxaVenda;puCompra;puVenda;puBase
13/11/2003;0,006100;0,006900;1772,37;1765,96;1764,69
14/11/2003;0,006000;0,006800;1774,43;1768,02;1766,75
17/11/2003;0,005900;0,006700;1776,49;1770,08;1768,81
18/11/2003;0,005600;0,006400;1780,17;1773,74;1772,47
19/11/2003;0,005600;0,006400;1781,42;1775,00;1773,73
20/11/2003;0,005300;0,006100;1785,01;1778,57;1777,39
21/11/2003;0,004800;0,005600;1790,21;1783,76;1782,58
24/11/2003;0,004200;0,005000;1796,24;1789,77;1788,59
25/11/2003;0,004000;0,004800;1799,03;1792,56;1791,38
26/11/2003;0,002800;0,003600;1809,97;1803,45;1802,27
27/11/2003;0,002700;0,003500;1811,95;1805,43;1804,25
28/11/2003;0,002700;0,003500;1813,12;1806,60;1805,42
01/12/2003;0,002600;0,003400;1815,11;1808,59;1807,41
02/12/2003;0,002400;0,003200;1817,91;1811,38;1810,20
03/12/2003;0,002100;0,002900;1821,54;1815,00;1813,82
04/12/2003;0,002200;0,003000;1821,89;1815,36;1814,18
05/12/2003;0,002200;0,003000;1823,06;1816,53;1815,35
08/12/2003;0,002100;0,002900;1825,05;1818,52;1817,34
09/12/2003;0,002100;0,002900;1826,22;1819,69;1818,51
10/12/2003;0,002100;0,002900;1827,40;1820,87;1819,68
11/12/2003;0,002100;0,002900;1828,57;1822,05;1820,86
12/12/2003;0,002000;0,002800;1830,56;1824,03;1822,85
15/12/2003;0,002000;0,002800;1831,74;1825,21;1824,02
16/12/2003;0,002000;0,002800;1832,91;1826,38;1825,20
17/12/2003;0,002000;0,002800;1834,08;1827,56;1826,37
18/12/2003;0,002000;0,002800;1835,20;1828,68;1827,55
19/12/2003;0,001900;0,002700;1837,13;1830,60;1829,48
22/12/2003;0,001800;0,002600;1839,06;1832,54;1831,41
23/12/2003;0,001700;0,002500;1841,00;1834,47;1833,34
24/12/2003;0,001700;0,002500;1842,12;1835,59;1834,46
26/12/2003;0,001700;0,002500;1843,23;1836,71;1835,58
29/12/2003;0,001700;0,002500;1844,35;1837,83;1836,70
30/12/2003;0,001700;0,002500;1845,48;1838,96;1837,82
31/12/2003;0,001700;0,002500;1846,60;1840,08;1838,95
02/01/2004;0,001700;0,002500;1847,72;1841,20;1840,07
05/01/2004;0,001600;0,002400;1849,66;1843,14;1842,00
06/01/2004;0,001500;0,002300;1851,59;1845,08;1843,94
07/01/2004;0,001400;0,002200;1853,53;1847,01;1845,88
08/01/2004;0,001000;0,001800;1857,93;1851,39;1850,26
09/01/2004;0,000900;0,001700;1859,87;1853,34;1852,20
12/01/2004;0,000800;0,001600;1861,81;1855,28;1854,14
13/01/2004;0,000700;0,001500;1863,75;1857,21;1856,08
14/01/2004;0,000600;0,001400;1865,69;1859,16;1858,02
15/01/2004;0,000600;0,001400;1866,82;1860,28;1859,14
16/01/2004;0,000600;0,001400;1867,94;1861,41;1860,27
19/01/2004;0,000500;0,001300;1869,88;1863,35;1862,21
20/01/2004;0,000400;0,001200;1871,83;1865,29;1864,15
21/01/2004;0,000300;0,001100;1873,77;1867,23;1866,09
22/01/2004;0,000200;0,001000;1875,71;1869,17;1868,03
23/01/2004;0,000200;0,001000;1876,84;1870,30;1869,16
26/01/2004;0,000200;0,001000;1877,97;1871,43;1870,29
27/01/2004;0,000200;0,001000;1879,10;1872,56;1871,42
28/01/2004;0,000200;0,001000;1880,23;1873,70;1872,55
29/01/2004;0,000200;0,001000;1881,36;1874,83;1873,68
30/01/2004;0,000300;0,001100;1881,67;1875,15;1874,00
02/02/2004;0,000300;0,001100;1882,80;1876,28;1875,13
03/02/2004;0,000500;0,001300;1882,30;1875,78;1874,64
04/02/2004;0,000500;0,001300;1883,43;1876,92;1875,77
05/02/2004;0,000600;0,001400;1883,74;1877,24;1876,09
06/02/2004;0,000600;0,001400;1884,88;1878,37;1877,22
09/02/2004;0,000600;0,001400;1886,01;1879,51;1878,36
10/02/2004;0,000700;0,001500;1886,33;1879,83;1878,68
11/02/2004;0,000500;0,001300;1889,09;1882,59;1881,44
12/02/2004;0,000500;0,001300;1890,22;1883,72;1882,57
13/02/2004;0,000400;0,001200;1892,17;1885,67;1884,52
16/02/2004;0,000400;0,001200;1893,31;1886,81;1885,66
17/02/2004;0,000400;0,001200;1894,45;1887,96;1886,80
18/02/2004;0,000400;0,001200;1895,59;1889,10;1887,94
19/02/2004;0,000400;0,001200;1896,73;1890,24;1889,09
20/02/2004;0,000500;0,001300;1897,06;1890,58;1889,42
25/02/2004;0,000500;0,001300;1898,20;1891,72;1890,56
26/02/2004;0,000500;0,001300;1899,35;1892,86;1891,71
27/02/2004;0,000500;0,001300;1900,49;1894,01;1892,85
01/03/2004;0,000500;0,001300;1901,63;1895,16;1894,00
02/03/2004;0,000500;0,001300;1902,78;1896,30;1895,14
03/03/2004;0,000500;0,001300;1903,92;1897,45;1896,29
04/03/2004;0,000500;0,001300;1905,06;1898,59;1897,43
