data;taxaCompra;taxaVenda;puCompra;puVenda;puBase;
11/08/2005;8,73%;8,79%;681,04;677,40;677,12;
12/08/2005;8,74%;8,80%;680,82;677,18;676,73;
15/08/2005;8,74%;8,80%;681,12;677,48;677,18;
16/08/2005;8,74%;8,80%;681,42;677,79;677,48;
17/08/2005;8,75%;8,81%;681,12;677,48;677,18;
18/08/2005;8,75%;8,81%;681,42;677,78;677,48;
19/08/2005;8,75%;8,81%;681,87;678,23;677,78;
22/08/2005;8,75%;8,81%;682,17;678,53;678,23;
23/08/2005;8,75%;8,81%;682,47;678,84;678,53;
24/08/2005;8,75%;8,81%;682,77;679,14;678,84;
25/08/2005;8,75%;8,81%;683,08;679,44;679,14;
26/08/2005;8,74%;8,80%;683,74;680,10;679,73;
29/08/2005;8,75%;8,81%;683,40;679,77;679,49;
30/08/2005;8,74%;8,80%;684,28;680,65;680,37;
31/08/2005;8,74%;8,80%;684,56;680,92;680,65;
01/09/2005;8,74%;8,80%;684,83;681,19;680,92;
02/09/2005;8,74%;8,80%;685,20;681,56;681,19;
05/09/2005;8,74%;8,80%;685,47;681,83;681,56;
06/09/2005;8,75%;8,81%;684,97;681,34;681,04;
08/09/2005;8,75%;8,81%;685,24;681,61;681,34;
09/09/2005;8,75%;8,81%;685,58;681,95;681,61;
12/09/2005;8,75%;8,81%;685,85;682,21;681,95;
13/09/2005;8,75%;8,81%;686,11;682,48;682,21;
14/09/2005;8,75%;8,81%;686,38;682,74;682,48;
15/09/2005;8,75%;8,81%;686,67;683,03;682,74;
16/09/2005;8,75%;8,81%;687,07;683,44;683,03;
19/09/2005;8,75%;8,81%;687,36;683,73;683,44;
20/09/2005;8,75%;8,81%;687,65;684,02;683,73;
21/09/2005;8,75%;8,81%;687,94;684,30;684,02;
22/09/2005;8,75%;8,81%;688,23;684,59;684,30;
23/09/2005;8,75%;8,81%;688,86;685,22;684,76;
26/09/2005;8,75%;8,81%;689,17;685,53;685,22;
27/09/2005;8,75%;8,81%;689,48;685,84;685,53;
28/09/2005;8,73%;8,79%;691,01;687,36;687,05;
29/09/2005;8,74%;8,80%;690,71;687,07;686,76;
30/09/2005;8,74%;8,80%;691,18;687,54;687,07;
03/10/2005;8,67%;8,73%;695,77;692,10;691,79;
04/10/2005;8,65%;8,71%;697,31;693,63;693,32;
05/10/2005;8,63%;8,69%;698,85;695,17;694,85;
06/10/2005;8,63%;8,69%;699,16;695,48;695,17;
07/10/2005;8,63%;8,69%;699,63;695,95;695,48;
10/10/2005;8,63%;8,69%;699,94;696,26;695,95;
11/10/2005;8,63%;8,69%;700,34;696,65;696,26;
13/10/2005;8,63%;8,69%;700,65;696,96;696,65;
14/10/2005;8,63%;8,69%;701,18;697,50;696,94;
17/10/2005;8,62%;8,68%;702,14;698,45;698,11;
18/10/2005;8,63%;8,69%;701,86;698,18;697,84;
19/10/2005;8,63%;8,69%;702,21;698,52;698,18;
20/10/2005;8,63%;8,69%;702,55;698,86;698,52;
21/10/2005;8,63%;8,69%;703,11;699,42;698,86;
24/10/2005;8,63%;8,69%;703,61;699,92;699,56;
25/10/2005;8,63%;8,69%;703,97;700,28;699,92;
26/10/2005;8,63%;8,69%;704,33;700,64;700,28;
27/10/2005;8,63%;8,69%;704,69;700,99;700,64;
28/10/2005;8,64%;8,70%;704,68;700,99;700,38;
31/10/2005;8,64%;8,70%;705,04;701,35;700,99;
01/11/2005;8,63%;8,69%;706,14;702,45;701,96;
03/11/2005;8,63%;8,69%;706,50;702,81;702,45;
04/11/2005;8,63%;8,69%;707,12;703,42;702,81;
07/11/2005;8,64%;8,70%;706,86;703,17;702,81;
08/11/2005;8,65%;8,71%;706,60;702,91;702,55;
09/11/2005;8,65%;8,71%;706,96;703,27;702,91;
10/11/2005;8,66%;8,72%;707,87;704,18;703,77;
11/11/2005;8,64%;8,70%;709,85;706,15;705,40;
14/11/2005;8,63%;8,69%;710,96;707,26;706,84;
16/11/2005;8,63%;8,69%;711,29;707,58;707,26;
17/11/2005;8,62%;8,68%;712,24;708,53;708,20;
18/11/2005;8,63%;8,69%;712,13;708,42;707,91;
21/11/2005;8,62%;8,68%;713,07;709,36;709,04;
22/11/2005;8,63%;8,69%;712,78;709,07;708,75;
23/11/2005;8,63%;8,69%;713,11;709,40;709,07;
24/11/2005;8,64%;8,70%;712,81;709,11;708,78;
25/11/2005;8,64%;8,70%;713,33;709,62;709,11;
28/11/2005;8,64%;8,70%;714,15;710,44;710,08;
29/11/2005;8,65%;8,71%;713,89;710,19;709,83;
30/11/2005;8,65%;8,71%;714,26;710,55;710,19;
01/12/2005;8,67%;8,73%;713,38;709,69;709,32;
