data;taxaCompra;taxaVenda;puCompra;puVenda;puBase
06/01/2004;17,14%;17,24%;813,14;810,86;810,35
07/01/2004;17,08%;17,18%;815,03;812,74;812,23
08/01/2004;16,52%;16,62%;828,52;826,18;825,68
09/01/2004;16,47%;16,57%;830,20;827,85;827,35
12/01/2004;15,22%;15,32%;860,78;858,31;857,83
13/01/2004;15,51%;15,61%;854,15;851,72;851,23
14/01/2004;15,67%;15,77%;850,76;848,34;847,85
15/01/2004;15,61%;15,71%;852,70;850,28;849,79
16/01/2004;16,08%;16,18%;841,91;839,54;839,04
19/01/2004;15,89%;15,99%;846,94;844,55;844,05
20/01/2004;15,80%;15,90%;849,59;847,20;846,70
21/01/2004;15,94%;16,04%;846,74;844,36;843,86
22/01/2004;16,00%;16,10%;845,81;843,43;842,93
23/01/2004;16,41%;16,51%;836,64;834,30;833,80
26/01/2004;16,00%;16,10%;846,80;844,43;843,93
27/01/2004;15,66%;15,76%;855,43;853,03;852,53
28/01/2004;15,64%;15,74%;856,41;854,00;853,51
29/01/2004;15,81%;15,91%;852,82;850,44;849,94
30/01/2004;15,89%;15,99%;851,41;849,04;848,54
02/02/2004;16,30%;16,40%;842,24;839,90;839,40
03/02/2004;16,38%;16,48%;840,87;838,55;838,04
04/02/2004;16,31%;16,41%;843,01;840,68;840,17
05/02/2004;16,08%;16,18%;848,91;846,56;846,06
06/02/2004;16,20%;16,30%;846,60;844,26;843,75
09/02/2004;16,24%;16,34%;846,17;867,59;843,32
10/02/2004;16,14%;16,24%;849,01;846,67;846,17
11/02/2004;15,97%;16,07%;853,52;851,16;850,66
12/02/2004;16,00%;16,10%;853,31;850,96;850,46
13/02/2004;15,84%;15,94%;857,59;855,23;854,73
16/02/2004;16,18%;16,28%;850,10;847,76;847,26
17/02/2004;16,13%;16,23%;851,77;849,44;848,93
18/02/2004;16,03%;16,13%;854,62;852,28;851,77
19/02/2004;16,16%;16,26%;852,08;849,75;849,24
20/02/2004;16,72%;16,82%;839,67;837,39;836,88
25/02/2004;16,89%;16,99%;836,32;834,06;833,54
26/02/2004;16,38%;16,48%;848,50;846,20;845,68
27/02/2004;16,44%;16,54%;847,63;845,33;844,82
01/03/2004;16,17%;16,27%;854,39;852,06;851,56
02/03/2004;15,85%;15,95%;862,38;860,03;859,52
03/03/2004;15,78%;15,88%;864,53;862,18;861,67
04/03/2004;16,27%;16,37%;853,60;851,29;850,78
05/03/2004;16,18%;16,28%;856,19;853,88;853,36
08/03/2004;16,36%;16,46%;852,54;850,25;849,73
09/03/2004;16,24%;16,34%;855,82;853,52;853,00
10/03/2004;16,26%;16,36%;855,87;853,57;853,06
11/03/2004;16,30%;16,40%;855,46;853,16;852,65
12/03/2004;16,29%;16,39%;856,20;853,91;853,39
15/03/2004;16,27%;16,37%;857,18;854,88;854,37
16/03/2004;16,26%;16,36%;857,92;855,62;855,11
17/03/2004;16,25%;16,35%;858,66;856,37;855,85
18/03/2004;16,26%;16,36%;858,95;856,65;856,14
19/03/2004;16,24%;16,34%;859,92;857,63;857,11
22/03/2004;16,24%;16,34%;860,43;858,14;857,63
23/03/2004;16,05%;16,15%;865,32;863,02;862,50
24/03/2004;16,13%;16,23%;863,99;861,69;861,18
25/03/2004;16,38%;16,48%;858,78;856,50;855,98
26/03/2004;16,43%;16,53%;858,16;855,89;855,37
29/03/2004;16,43%;16,53%;858,67;856,41;855,89
30/03/2004;16,48%;16,58%;858,06;855,80;855,28
31/03/2004;16,39%;16,49%;860,62;858,35;857,83
01/04/2004;16,42%;16,52%;860,46;858,20;857,67
